ID,Brush Material,Brush Shape,Tool Path,Speed,Pressure,Paint Thickness,Gel Medium Added,Molding Paste Added
A0101,2,0,5,1,2,2,1,0
A0102,1,0,4,4,2,2,1,1
A0103,0,2,3,4,4,0,1,1
A0104,0,1,0,4,4,2,0,1
A0105,1,0,6,4,2,1,1,1
A0106,2,1,5,3,0,2,0,1
A0107,1,1,2,3,4,0,0,1
A0108,0,1,10,3,4,0,1,0
A0109,0,0,10,4,3,0,1,0
A0110,2,2,6,0,4,2,1,1
A0111,1,1,5,2,0,2,0,0
A0112,0,1,5,1,3,2,1,1
A0113,1,2,6,2,4,0,0,1
A0114,0,0,3,4,2,1,1,1
A0115,2,0,2,3,3,2,1,1
A0116,2,1,8,1,3,2,0,0
A0117,2,2,2,2,0,1,0,0
A0118,1,1,10,0,3,1,1,0
A0119,2,1,5,1,3,1,0,0
A0201,2,2,3,0,0,0,0,1
A0202,0,2,9,2,4,0,1,1
A0203,2,2,10,0,1,1,0,1
A0204,1,0,0,1,0,2,1,1
A0205,0,1,2,2,1,1,0,0
A0206,2,1,3,0,2,0,1,0
A0207,2,0,7,1,4,0,1,0
A0208,1,0,5,3,4,2,0,0
A0209,1,2,8,3,2,0,1,0
A0210,2,2,6,4,2,1,0,1
A0211,0,2,10,4,4,2,1,1
A0212,1,1,1,3,4,2,0,1
A0213,2,2,1,0,1,0,1,1
A0214,0,1,7,1,0,1,0,0
A0215,2,0,4,3,4,0,1,0
A0216,2,0,2,4,1,0,0,1
A0217,1,1,8,2,4,1,1,1
A0218,1,0,0,4,4,1,1,1
A0219,1,1,2,4,3,2,1,1
A0301,1,2,1,4,4,0,0,1
A0302,2,0,8,0,4,0,0,0
A0303,1,2,8,3,1,1,0,1
A0304,1,2,10,1,1,1,0,0
A0305,1,2,8,1,1,2,1,0
A0306,0,1,7,4,3,0,1,1
A0307,1,1,2,2,4,0,0,0
A0308,0,0,3,2,3,2,1,1
A0309,0,1,7,0,4,2,0,1
A0310,0,0,7,3,4,1,0,1
A0311,0,2,7,1,2,0,1,0
A0312,0,2,1,4,0,1,1,1
A0313,1,1,7,3,0,1,1,1
A0314,0,1,8,3,2,2,1,1
A0315,2,2,4,1,4,1,0,1
A0316,0,2,6,4,1,2,0,0
A0317,1,0,6,2,3,1,1,0
A0318,0,1,9,2,0,2,0,0
A0319,1,0,5,3,3,1,1,0
A0401,1,1,0,1,3,0,0,0
A0402,1,0,8,2,0,1,0,1
A0403,0,2,3,4,1,0,0,1
A0404,2,0,9,0,4,2,1,1
A0405,0,1,1,0,0,2,1,1
A0406,2,1,6,0,0,2,0,1
A0407,1,0,8,0,1,2,0,0
A0408,2,0,9,1,2,2,0,0
A0409,1,0,4,0,3,1,0,1
A0410,1,2,3,4,3,0,0,1
A0411,1,1,2,4,0,1,1,0
A0412,0,1,7,1,4,0,0,0
A0413,1,2,5,1,3,1,0,1
A0414,0,0,10,0,1,2,1,0
A0415,2,2,6,2,3,2,1,0
A0416,1,2,3,1,3,1,1,0
A0417,0,2,1,1,2,1,1,0
A0418,2,0,0,4,1,1,1,1
A0419,0,0,1,0,1,0,0,1
A0501,1,1,9,1,3,1,0,1
A0502,1,1,5,2,0,0,1,1
A0503,2,2,1,4,1,0,0,1
A0504,0,0,4,1,1,0,1,1
A0505,0,1,7,2,3,2,0,1
A0506,1,1,3,1,2,1,1,0
A0507,1,2,6,2,3,0,0,1
A0508,2,0,0,3,0,0,1,0
A0509,0,1,1,4,1,2,0,0
A0510,1,2,3,1,2,0,1,0
A0511,1,1,7,1,2,0,1,1
A0512,1,0,9,4,0,1,0,0
A0513,1,2,0,1,4,1,1,0
A0514,1,2,2,4,2,0,0,0
A0515,2,2,10,4,2,0,1,0
A0516,2,2,10,3,4,2,0,1
A0517,1,0,7,1,1,1,0,0
A0518,0,1,6,4,4,0,0,1
A0519,1,2,5,3,0,1,0,0
A0601,0,1,0,0,1,1,1,0
A0602,0,2,10,3,4,2,0,0
A0603,0,2,5,3,1,0,1,0
A0604,2,1,4,1,2,1,0,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
